from,to,transfer_eth_amount,transfer_eth_count
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0x41555adfaed596a3bcc836c0c4891e4c2e51bf8f,1250,1
0x5ab55afcbfde83e0b3fbeff67ed0da73ba7b629c,0xdbd3abf43d4a2c8707a747dfb1ecceafeb796724,4000,1
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0x3961202ca698b99b516895cec84349ae24069838,2500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x866eeecd1f248d1a0a2e0263f13594a6b8b7c01a,50000,4
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x5ab55afcbfde83e0b3fbeff67ed0da73ba7b629c,15000,1
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0xcd82b7e94d214d629bae2f26131174618da1bb6e,4750,1
0x7f3debba84491401bd4fe51c1a1926b049189d57,0xd9d5f8bf5f4db56746460930befbac9935b39922,7500,1
0xa122d2d3d147732e2b5cce7d43a8c20e99c569f1,0xc2186ef4ce8638c862fd752f9b6f8a0a7b297cf1,7500,1
0xadb8ddf11607fc5faf1d6b50beed9f6c3577203e,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,5724,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x3e957efc6d1bf1d9141212269cd04855ad92696e,15000,1
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0xcbcef2cc96b288e1b3345e799986c50d08d701ae,2500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x44b53564b95530a0bc708900089e685eef12fa6e,15000,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0xd53c2e2d17281487023c1e4433f7ac95b88d7277,15000,1
0x7f3debba84491401bd4fe51c1a1926b049189d57,0x58fd558773fc5cf9d9b7d2eaef22596ee7922907,7500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x8059c2b8ff915ec4b615c95e719861f269d68ada,15000,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0xd11fd269ac6b602e42abb6f0f186cd5b27180ffd,15000,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x11133bcf0ecbe48e74a4d787bb047aa5bc2c5cab,15000,1
0x9b10ca213be20b8bc2a398839edd1f6406dc9b47,0xa397499c233fed8598f72cf19e8f3970d2aaea4a,5625,1
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0x368129a89db7acae7ce0bfdb649d188154c90827,2500,1
0x5ab55afcbfde83e0b3fbeff67ed0da73ba7b629c,0x8db10a697c8e61b47844186d84110e2db156db0e,3500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x52da49c343df2d1880ec79df9c89a962afc8691d,15000,1
0xd53c2e2d17281487023c1e4433f7ac95b88d7277,0xd6ba300a4f0cfb7c5a1f6f8c0b155c04f74b38e2,7500,1
0x9b10ca213be20b8bc2a398839edd1f6406dc9b47,0x1010bb5865c1091273ac239ab248f4554f2122a4,9375,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0xa122d2d3d147732e2b5cce7d43a8c20e99c569f1,15000,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x99072e1422377d808d5599a78aa7e772b988c0fb,15000,1
0xd53c2e2d17281487023c1e4433f7ac95b88d7277,0x480f519181ca934bc408a246a37127566862d358,7500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x7f3debba84491401bd4fe51c1a1926b049189d57,15000,1
0x2cb356d17ce28135d593795de6a398f2b997a69f,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,6664,1
0x7abe0ce388281d2acf297cb089caef3819b13448,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,10000,1
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,9500,1
0x961baeb17b99da67daba6de02933fa0195cb425e,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,4171,1
0x29bd06bfb1b52bdae3190f7151ec0367b745b67f,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,2697,1
0xc40abf7e6499694ea6f965df96e39e51305e019a,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,1288,1
0x2cfe6a1abc4f72065d3a640a5a006471794b2ecc,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,9263,1
0x23a43cf429ec32ebca4624e2182a799141425556,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,5565,1
0xd73ac858a9b5a83792d2a5e56fb755273620fe73,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,6079,1
0x585ed783c9246553e8bc9f9046c80f54afee7765,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,13203,1
0xa122d2d3d147732e2b5cce7d43a8c20e99c569f1,0x395d94cebef7d01ac60f28b4a8de51b01f98e858,7500,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0x9b10ca213be20b8bc2a398839edd1f6406dc9b47,15000,1
0x59abf3837fa962d6853b4cc0a19513aa031fd32b,0xc0c847b14965df7e7eaa003ea987c6187211d85f,15000,1
0x5ab55afcbfde83e0b3fbeff67ed0da73ba7b629c,0x7974bfec60ecec5cbda9fd68e8de86117382e1cc,7500,1
0x866eeecd1f248d1a0a2e0263f13594a6b8b7c01a,0x1111111254eeb25477b68fb85ed929f73a960582,48990,14
0x8059c2b8ff915ec4b615c95e719861f269d68ada,0x1111111254eeb25477b68fb85ed929f73a960582,14999,3
0x3e957efc6d1bf1d9141212269cd04855ad92696e,0x3ca0f83634422967d424f4fab482c34781f31d20,1500,1
